Ref,Val,Package,PosX,PosY,Rot,Side
"U2","WT0132C6-S5","WT0132C6-S5",9.160000,9.850000,0.000000,bottom
"Boot1","Tactile Button, 160gf","SW-SMD_L3.9-W3.0-P4.45",5.540000,4.330000,90.000000,top
"C1","100nF","C0402",5.220000,10.630000,90.000000,top
"C2","100nF","C0402",6.410000,10.630000,90.000000,top
"C3","100nF 25V","C0402",16.880000,16.110000,90.000000,top
"C4","100nF","C0402",7.620000,10.650000,90.000000,top
"C5","100nF","C0402",8.830000,10.570000,90.000000,top
"C6","1uF","C0603",4.890000,17.780000,90.000000,top
"C7","100nF","C0402",12.150000,9.260000,90.000000,top
"C8","100nF","C0402",3.130000,13.390000,-90.000000,top
"C15","47uF 6V3","C0805",10.470000,10.030000,-90.000000,top
"C16","100nF 25V","C0402",15.690000,16.100000,90.000000,top
"C17","22uF 25V","C0805",18.530000,16.220000,90.000000,top
"C18","100nF","C0402",12.350000,13.560000,90.000000,top
"C19","18pF","C0402",15.270000,11.720000,-90.000000,top
"D2","~","DFN1006-2L_L1.0-W0.6-P0.65-BI",15.790000,5.930000,180.000000,top
"D3","~","DFN1006-2L_L1.0-W0.6-P0.65-BI",18.110000,5.400000,0.000000,top
"D4","D","D0402",18.220000,9.650000,180.000000,top
"J2","Conn_01x07","PinHeader_1x07_P2.54mm_Horizontal",21.035000,17.575000,0.000000,top
"L1","4.7uH","IND-SMD_L4.9-W4.9_NRS50XX",8.550000,15.010000,-90.000000,top
"Matter1","Tactile Button, 160gf","SW-SMD_L3.9-W3.0-P4.45",10.610000,2.280000,180.000000,top
"Q1","BSS138PS","SOT-363_L2.0-W1.3-P0.65-LS2.1-BR",15.360000,7.620000,0.000000,top
"R1","10k","R0402",18.880000,8.100000,90.000000,top
"R2","10k","R0402",16.150000,9.670000,0.000000,top
"R3","10k","R0402",5.280000,14.830000,90.000000,top
"R5","150k 1%","R0603",16.930000,13.370000,90.000000,top
"R6","150k 1%","R0603",13.080000,11.380000,0.000000,top
"R8","33k 1%","R0402",17.870000,11.140000,0.000000,top
"R9","220","R0402",3.580000,15.370000,0.000000,top
"Reset1","Tactile Button, 160gf","SW-SMD_L3.9-W3.0-P4.45",2.000000,9.030000,-90.000000,top
"U1","TPS562246","SOT-5X3-6_L1.6-W1.2-P0.50-LS1.6-BR",14.080000,14.575000,90.000000,top
